day,theme,tip
1,Strategy & Positioning,"Start with the buyer’s problem, not the book idea."
2,Strategy & Positioning,"Define the exact reader before choosing the title."
3,Strategy & Positioning,"A narrow niche is easier to sell into than “everyone.”"
4,Strategy & Positioning,"Pick one primary outcome per book."
5,Strategy & Positioning,"Make the promise obvious from the cover, title, and description."
6,Strategy & Positioning,"Do not build a product around vague “inspiration.”"
7,Strategy & Positioning,"Ask: “What will the buyer be able to do after this?”"
8,Strategy & Positioning,"Avoid products that need too much explanation to sell."
9,Strategy & Positioning,"Build product lines, not isolated one-off books."
10,Strategy & Positioning,"Reuse research, templates, layouts, and marketing assets."
11,Strategy & Positioning,"Make every new book teach you something reusable."
12,Strategy & Positioning,"Choose formats that fit your available time."
13,Strategy & Positioning,"If you have limited time, prioritise repeatable systems."
14,Strategy & Positioning,"Do not chase every trend unless it fits your catalogue."
15,Strategy & Positioning,"Keep a parking list for distracting ideas."
16,Strategy & Positioning,"Measure ideas by buyer demand, production effort, and risk."
17,Strategy & Positioning,"A simple book that sells beats a clever book nobody understands."
18,Strategy & Positioning,"Decide whether the product is entertainment, education, reference, or utility."
19,Strategy & Positioning,"Do not mix too many purposes in one book."
20,Strategy & Positioning,"Build beginner, intermediate, and advanced versions where possible."
21,Strategy & Positioning,"Make your first version smaller than your ambition."
22,Strategy & Positioning,"A clean MVP is better than an unfinished masterpiece."
23,Strategy & Positioning,"Write the sales page before making the product."
24,Strategy & Positioning,"If the sales page is weak, the idea is probably weak."
25,Strategy & Positioning,"Every publishing project needs a clear “done when” rule."
26,Market Research,"Search like a buyer, not like a publisher."
27,Market Research,"Record real buyer phrases from search results."
28,Market Research,"Study covers before studying interiors."
29,Market Research,"Look for repeated complaints in reviews."
30,Market Research,"Turn review complaints into product features."
31,Market Research,"Look for what buyers praise repeatedly."
32,Market Research,"Do not copy competitors; map their gaps."
33,Market Research,"Check whether buyers already pay for the niche."
34,Market Research,"A niche with no competition may mean no demand."
35,Market Research,"A niche with strong competition needs sharper positioning."
36,Market Research,"Sort competitor notes into cover, price, promise, format, and reviews."
37,Market Research,"Screenshot strong listings for private research only."
38,Market Research,"Avoid using competitor wording too closely."
39,Market Research,"Check bestseller lists for patterns, not guarantees."
40,Market Research,"Look at low-rated books to find avoidable mistakes."
41,Market Research,"Look at high-rated books to understand buyer expectations."
42,Market Research,"Identify standard trim sizes in your niche."
43,Market Research,"Identify normal page counts in your niche."
44,Market Research,"Identify common price ranges before pricing."
45,Market Research,"Search Pinterest and TikTok for visual demand."
46,Market Research,"Use Etsy search suggestions for product wording ideas."
47,Market Research,"Use Amazon autocomplete for reader language."
48,Market Research,"Do not rely on one keyword tool."
49,Market Research,"Check whether the niche has seasonal demand."
50,Market Research,"Build for evergreen demand unless you can move fast."
51,Writing & Content,"Create the table of contents before drafting."
52,Writing & Content,"Use chapter templates to speed production."
53,Writing & Content,"Keep each chapter doing one job."
54,Writing & Content,"Use recurring sections to make books easier to produce."
55,Writing & Content,"For guides, include examples after instructions."
56,Writing & Content,"For workbooks, include space to act, not just read."
57,Writing & Content,"For puzzle books, keep difficulty labels honest."
58,Writing & Content,"For children’s books, test clarity with actual age expectations."
59,Writing & Content,"For nonfiction, avoid padding."
60,Writing & Content,"Put the useful material early."
61,Writing & Content,"Open with the reader’s situation."
62,Writing & Content,"Use plain language before specialist language."
63,Writing & Content,"Define terms the first time they appear."
64,Writing & Content,"Use checklists to make advice actionable."
65,Writing & Content,"Use tables when comparison matters."
66,Writing & Content,"Use diagrams when process matters."
67,Writing & Content,"Use examples when judgement matters."
68,Writing & Content,"Repeat important instructions in quick-reference form."
69,Writing & Content,"Write headings that explain the benefit."
70,Writing & Content,"Do not bury key warnings in long paragraphs."
71,Writing & Content,"Keep chapters similar in length unless there is a reason."
72,Writing & Content,"Put summaries at the end of complex sections."
73,Writing & Content,"Keep promises made in the introduction."
74,Writing & Content,"Remove anything that does not help the buyer."
75,Writing & Content,"Save cut material for another product."
76,Editing & QA,"Do a structure edit before proofreading."
77,Editing & QA,"Do not proofread while still rewriting."
78,Editing & QA,"Keep a style sheet for names, spellings, and terms."
79,Editing & QA,"Search for repeated words before final export."
80,Editing & QA,"Search for double spaces."
81,Editing & QA,"Search for placeholder text."
82,Editing & QA,"Search for “TODO,” “FIX,” and “draft.”"
83,Editing & QA,"Read the cover text separately from the book."
84,Editing & QA,"Proof the title, subtitle, and spine more than once."
85,Editing & QA,"Check page numbers after every major layout change."
86,Editing & QA,"Check links in digital products manually."
87,Editing & QA,"Test all QR codes before launch."
88,Editing & QA,"Print a proof for anything image-heavy."
89,Editing & QA,"Read a proof away from your desk."
90,Editing & QA,"Use text-to-speech to catch awkward wording."
91,Editing & QA,"Check headers and footers across sections."
92,Editing & QA,"Check that chapter titles match the contents page."
93,Editing & QA,"Verify every claim that could create risk."
94,Editing & QA,"Keep source notes for factual claims."
95,Editing & QA,"Do not rely only on spellcheck."
96,Editing & QA,"Check UK/US spelling consistency."
97,Editing & QA,"Check whether measurements use one system consistently."
98,Editing & QA,"Check permissions before using quotes or images."
99,Editing & QA,"Keep a final QA checklist per product type."
100,Editing & QA,"Never upload a file you have not opened after export."
101,Design & Formatting,"Design the cover for thumbnail first."
102,Design & Formatting,"Make the title readable at phone size."
103,Design & Formatting,"Use fewer fonts than you want to."
104,Design & Formatting,"Use one display font and one body font where possible."
105,Design & Formatting,"Avoid thin fonts on covers."
106,Design & Formatting,"Avoid low contrast text."
107,Design & Formatting,"Use margins as part of the design."
108,Design & Formatting,"Keep important text away from trim edges."
109,Design & Formatting,"Do not crowd the cover."
110,Design & Formatting,"Make the subtitle earn its space."
111,Design & Formatting,"Use back-cover bullets for practical books."
112,Design & Formatting,"Put the strongest benefit near the top."
113,Design & Formatting,"Make interiors calmer than covers."
114,Design & Formatting,"Choose body fonts for readability, not personality."
115,Design & Formatting,"Use consistent heading styles."
116,Design & Formatting,"Keep line spacing comfortable."
117,Design & Formatting,"Avoid huge blocks of uninterrupted text."
118,Design & Formatting,"Use page breaks intentionally."
119,Design & Formatting,"Start major sections on consistent page sides if relevant."
120,Design & Formatting,"Check that images are high enough resolution for print."
121,Design & Formatting,"Use vector logos where possible."
122,Design & Formatting,"Keep a transparent PNG version of your logo."
123,Design & Formatting,"Keep a black, white, and colour logo version."
124,Design & Formatting,"Export covers and interiors from master files only."
125,Design & Formatting,"Do not edit final PDFs unless unavoidable."
126,Design & Formatting,"Keep design templates locked once proven."
127,Design & Formatting,"Reuse successful cover systems across a series."
128,Design & Formatting,"Make series numbers clear if order matters."
129,Design & Formatting,"Keep your brand visible but not overpowering."
130,Design & Formatting,"Design for the buyer’s trust, not your own taste."
131,Print & POD Production,"Decide trim size before layout begins."
132,Print & POD Production,"Decide bleed or no bleed before design begins."
133,Print & POD Production,"Finalise page count before making the full cover."
134,Print & POD Production,"Calculate spine width from the final page count."
135,Print & POD Production,"Use the platform’s current cover template when available."
136,Print & POD Production,"Keep cover and interior files separate unless the platform says otherwise."
137,Print & POD Production,"Export print interiors as print-ready PDFs."
138,Print & POD Production,"Embed fonts where required."
139,Print & POD Production,"Avoid crop marks unless the printer asks for them."
140,Print & POD Production,"Check for white borders on full-bleed covers."
141,Print & POD Production,"Keep text out of the barcode area."
142,Print & POD Production,"Use proof copies before ordering stock."
143,Print & POD Production,"Check dark covers for scuffs on proof copies."
144,Print & POD Production,"Check pale covers for weak contrast."
145,Print & POD Production,"Check puzzle grids for line clarity."
146,Print & POD Production,"Check workbooks for enough writing space."
147,Print & POD Production,"Check image books under real lighting."
148,Print & POD Production,"Check gutter readability on thick books."
149,Print & POD Production,"Avoid putting essential content too close to the spine."
150,Print & POD Production,"Use white paper for workbooks and puzzle books unless cream suits the niche."
151,Print & POD Production,"Use cream paper carefully for books with images or diagrams."
152,Print & POD Production,"Check whether black-and-white interiors make images muddy."
153,Print & POD Production,"Avoid very small text in printed diagrams."
154,Print & POD Production,"Keep master files in editable format."
155,Print & POD Production,"Keep final upload files in a separate folder."
156,Print & POD Production,"Archive the exact files used for each published edition."
157,Print & POD Production,"Do not replace a live file without recording what changed."
158,Print & POD Production,"Rename revised editions clearly."
159,Print & POD Production,"Keep proof photos for evidence."
160,Print & POD Production,"Treat print production as manufacturing, not just design."
161,Metadata & Discoverability,"Put the main keyword naturally in the title only if it reads well."
162,Metadata & Discoverability,"Use the subtitle to clarify the buyer outcome."
163,Metadata & Discoverability,"Do not keyword-stuff titles."
164,Metadata & Discoverability,"Write descriptions for humans first."
165,Metadata & Discoverability,"Use keywords buyers actually type."
166,Metadata & Discoverability,"Separate backend keywords from public sales copy."
167,Metadata & Discoverability,"Use categories that match the buyer’s expectations."
168,Metadata & Discoverability,"Avoid misleading categories for temporary ranking gains."
169,Metadata & Discoverability,"Mention format clearly: paperback, ebook, PDF, digital download, workbook."
170,Metadata & Discoverability,"Mention page count where it helps trust."
171,Metadata & Discoverability,"Mention difficulty level for puzzle and learning books."
172,Metadata & Discoverability,"Mention age range only when genuinely suitable."
173,Metadata & Discoverability,"Avoid unsupported claims like “best,” “guaranteed,” or “approved.”"
174,Metadata & Discoverability,"Use the first description paragraph as the sales hook."
175,Metadata & Discoverability,"Use bullets for contents and benefits."
176,Metadata & Discoverability,"Add a “who this is for” section."
177,Metadata & Discoverability,"Add a “what’s included” section."
178,Metadata & Discoverability,"Add a “what’s not included” section when confusion is likely."
179,Metadata & Discoverability,"Use plain file-delivery language for digital products."
180,Metadata & Discoverability,"Include compatibility notes where relevant."
181,Metadata & Discoverability,"Keep metadata in a spreadsheet."
182,Metadata & Discoverability,"Track title, subtitle, keywords, categories, price, and upload date."
183,Metadata & Discoverability,"Save old descriptions before editing."
184,Metadata & Discoverability,"Test one metadata change at a time where possible."
185,Metadata & Discoverability,"Do not panic-edit after one bad day."
186,Metadata & Discoverability,"Give search changes time to settle."
187,Metadata & Discoverability,"Refresh weak descriptions before making new products."
188,Metadata & Discoverability,"Treat metadata as part of the product."
189,Metadata & Discoverability,"Use consistent series naming."
190,Metadata & Discoverability,"Build a metadata bank for future products."
191,KDP & Amazon-Style Publishing,"Use KDP templates or calculators instead of guessing cover sizes."
192,KDP & Amazon-Style Publishing,"Check trim, bleed, and margins before uploading."
193,KDP & Amazon-Style Publishing,"Upload the interior first, then finalise the cover."
194,KDP & Amazon-Style Publishing,"Check Print Previewer carefully."
195,KDP & Amazon-Style Publishing,"Do not ignore preview warnings."
196,KDP & Amazon-Style Publishing,"Check every page with images, tables, or grids."
197,KDP & Amazon-Style Publishing,"Keep author, publisher, and imprint names consistent."
198,KDP & Amazon-Style Publishing,"Do not use a brand name you do not own."
199,KDP & Amazon-Style Publishing,"Avoid implying Amazon endorsement."
200,KDP & Amazon-Style Publishing,"Do not use trademarked terms casually in titles."
201,KDP & Amazon-Style Publishing,"Use unbranded covers if buyers publish under their own names."
202,KDP & Amazon-Style Publishing,"Keep buyer-facing rights clear in licence notes."
203,KDP & Amazon-Style Publishing,"Do not promise KDP approval."
204,KDP & Amazon-Style Publishing,"Do not promise sales or income."
205,KDP & Amazon-Style Publishing,"Keep paperback, hardback, and ebook editions clearly separated."
206,KDP & Amazon-Style Publishing,"Use series fields only when books genuinely belong together."
207,KDP & Amazon-Style Publishing,"Order a proof for new templates."
208,KDP & Amazon-Style Publishing,"Check live listings after approval."
209,KDP & Amazon-Style Publishing,"Save screenshots of successful settings for repeat builds."
210,KDP & Amazon-Style Publishing,"Keep a launch log for every upload."
211,KDP & Amazon-Style Publishing,"Record rejection reasons."
212,KDP & Amazon-Style Publishing,"Turn repeated rejection reasons into checklist items."
213,KDP & Amazon-Style Publishing,"Do not change covers randomly after launch."
214,KDP & Amazon-Style Publishing,"Fix technical problems before marketing harder."
215,KDP & Amazon-Style Publishing,"Keep KDP-specific files separate from general master files."
216,Wide Distribution & ISBNs,"Decide whether you want Amazon-only or wider reach."
217,Wide Distribution & ISBNs,"Use your own ISBNs if you want stronger publisher control."
218,Wide Distribution & ISBNs,"Use platform-provided ISBNs only when their limits fit your plan."
219,Wide Distribution & ISBNs,"Assign different ISBNs to different formats where required."
220,Wide Distribution & ISBNs,"Keep ISBN records accurate."
221,Wide Distribution & ISBNs,"Match metadata across retailers."
222,Wide Distribution & ISBNs,"Avoid conflicting descriptions on different platforms."
223,Wide Distribution & ISBNs,"Consider IngramSpark for bookstore and library distribution goals."
224,Wide Distribution & ISBNs,"Consider direct POD platforms for simpler product testing."
225,Wide Distribution & ISBNs,"Understand wholesale discounts before going wide."
226,Wide Distribution & ISBNs,"Understand returns before enabling them."
227,Wide Distribution & ISBNs,"Do not assume bookstore availability means bookstore sales."
228,Wide Distribution & ISBNs,"Wide distribution needs stronger metadata discipline."
229,Wide Distribution & ISBNs,"Keep territories and rights straight."
230,Wide Distribution & ISBNs,"Use the same edition details across platforms."
231,Wide Distribution & ISBNs,"Archive retailer upload confirmations."
232,Wide Distribution & ISBNs,"Track which file version went to which platform."
233,Wide Distribution & ISBNs,"Check live retailer pages for formatting errors."
234,Wide Distribution & ISBNs,"Do not spread too wide before your files are proven."
235,Wide Distribution & ISBNs,"Build a repeatable wide-upload checklist."
236,Digital Products & Etsy,"State clearly that the item is digital."
237,Digital Products & Etsy,"State clearly that no physical item is shipped."
238,Digital Products & Etsy,"Show exactly what files are included."
239,Digital Products & Etsy,"Add a “how to download” note."
