day,theme,fact
1,Book History & Origins,"The Diamond Sutra, printed in 868 CE, is often described as the earliest dated, complete printed scroll known to survive."
2,Book History & Origins,"The Diamond Sutra was printed centuries before Gutenberg’s Bible."
3,Book History & Origins,"Early printing in East Asia often used carved wooden blocks rather than movable type."
4,Book History & Origins,"Bi Sheng developed ceramic movable type in China around 1041–1048."
5,Book History & Origins,"Gutenberg’s breakthrough was not just type, but a whole system: type, ink, press, and workflow."
6,Book History & Origins,"Gutenberg was trained as a goldsmith, which helped with metal type."
7,Book History & Origins,"The Gutenberg Bible was completed around 1455 in Mainz."
8,Book History & Origins,"The Gutenberg Bible is also known as the 42-line Bible."
9,Book History & Origins,"Gutenberg’s press adapted ideas from screw presses used for wine and other materials."
10,Book History & Origins,"The printing press helped standardise spelling over time."
11,Book History & Origins,"Before printing, books were copied by hand by scribes."
12,Book History & Origins,"A hand-copied manuscript could take months or years to produce."
13,Book History & Origins,"Illuminated manuscripts often used gold leaf for decoration."
14,Book History & Origins,"Medieval books were expensive because labour, parchment, and pigments were costly."
15,Book History & Origins,"Parchment is made from animal skin."
16,Book History & Origins,"Vellum is a finer form of parchment, often associated with calfskin."
17,Book History & Origins,"Paper spread to Europe through trade and contact with the Islamic world."
18,Book History & Origins,"Rag paper was once made from old linen and cotton textiles."
19,Book History & Origins,"Wood-pulp paper became common in the nineteenth century."
20,Book History & Origins,"Acidic wood-pulp paper can become brittle with age."
21,Book History & Origins,"Many older books survive poorly because their paper chemically degrades."
22,Book History & Origins,"The codex book form gradually replaced the scroll."
23,Book History & Origins,"A codex is closer to the modern book: pages bound along one side."
24,Book History & Origins,"Scrolls are harder to search quickly than paged books."
25,Book History & Origins,"Page numbers became more useful once printed books became common."
26,Book History & Origins,"Early printed books often imitated manuscript design."
27,Book History & Origins,"Some early printed books left blank spaces for hand-painted initials."
28,Book History & Origins,"Incunabula means books printed before 1501."
29,Book History & Origins,"The word incunabula comes from Latin, meaning swaddling clothes or beginnings."
30,Book History & Origins,"Printers’ marks were early brand logos."
31,Printing & Copyright,"William Caxton introduced printing to England in 1476."
32,Printing & Copyright,"Caxton printed in Westminster."
33,Printing & Copyright,"Caxton helped shape printed English by choosing which dialect forms to use."
34,Printing & Copyright,"Early printers were often editors, publishers, booksellers, and entrepreneurs at once."
35,Printing & Copyright,"The Stationers’ Company controlled much of English printing for centuries."
36,Printing & Copyright,"The Stationers’ Register recorded rights to copy and print works."
37,Printing & Copyright,"Early copyright protected printers more than authors."
38,Printing & Copyright,"The Statute of Anne in 1710 is often called the first modern copyright law."
39,Printing & Copyright,"The Statute of Anne began the long process of shifting copyright toward authors."
40,Printing & Copyright,"Copyright originally had limited terms, not perpetual protection."
41,Printing & Copyright,"Public domain works can be reused because copyright has expired or never applied."
42,Printing & Copyright,"Copyright protects expression, not raw ideas."
43,Printing & Copyright,"Book titles are usually not protected by copyright on their own."
44,Printing & Copyright,"Trademarks can protect series names, brands, and logos."
45,Printing & Copyright,"ISBNs identify editions, not just titles."
46,Printing & Copyright,"A paperback and hardback of the same book usually need different ISBNs."
47,Printing & Copyright,"ISBNs evolved from 9-digit UK roots to 10-digit international standards before the later 13-digit system."
48,Printing & Copyright,"ISBNs were 10 digits before the modern 13-digit system."
49,Printing & Copyright,"Since 2007, ISBNs have been 13 digits."
